AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH01635,D. Singh,5,440.0,378.74,-120.0,TotalImprovement
ATH02162,Gaurav Pachori,3,300.0,282.24,-120.0,TotalImprovement
ATH03217,Kiran,5,237.5,242.13,-120.0,TotalImprovement
ATH00422,Altab Khan,3,497.5,366.72,-120.0,TotalImprovement
ATH07525,T. Ulaganathan,3,675.0,431.15,-120.0,TotalImprovement
ATH01066,Ayush Kumar,3,310.0,247.71,-122.5,TotalImprovement
ATH01109,B. Chandrika #1,9,427.5,362.59,-122.5,TotalImprovement
ATH07384,Suraj Kumar Singh,2,675.0,452.95,-122.5,TotalImprovement
ATH06350,Sanket Chavan,3,712.5,434.51,-122.5,TotalImprovement
ATH01699,Debi Prasad Chaterjee,2,720.0,413.5,-122.5,TotalImprovement
ATH00670,Ankit Chouhan,8,692.5,398.26,-122.5,TotalImprovement
ATH05161,Priyanka,2,147.5,166.81,-122.5,TotalImprovement
ATH00126,Abhirami M. V,7,405.0,377.16,-122.5,TotalImprovement
ATH00126,Abhirami M. V,9,420.0,386.46,-122.5,TotalImprovement
ATH03993,Midhun Joseph,3,507.5,434.35,-122.5,TotalImprovement
ATH05090,Preeti,5,242.5,251.44,-122.5,TotalImprovement
ATH08134,Vishwanatha B,4,645.0,438.43,-125.0,TotalImprovement
ATH00494,Amit Yadav,3,847.5,512.01,-125.5,TotalImprovement
ATH05419,Rajendra Sawant,4,390.0,287.64,-127.5,TotalImprovement
ATH04348,Nar Vijaya,2,207.5,198.16,-127.5,TotalImprovement
ATH00109,Abhijith S,4,572.5,348.7,-127.5,TotalImprovement
ATH02099,G. Ramesh,11,617.5,418.15,-127.5,TotalImprovement
ATH00471,Ambar Joshi,2,495.0,269.16,-127.5,TotalImprovement
ATH00670,Ankit Chouhan,10,702.5,403.56,-127.5,TotalImprovement
ATH06760,Shivam #1,2,538.0,393.16,-129.5,TotalImprovement
ATH08147,Vivek Kumar Gupta,4,552.5,387.25,-130.0,TotalImprovement
ATH01412,Boska Jonathan,3,532.5,302.49,-130.0,TotalImprovement
ATH00724,Ansu Singh,5,672.5,455.55,-130.0,TotalImprovement
ATH00788,Apoorv Dubey,9,760.0,422.37,-132.5,TotalImprovement
ATH00670,Ankit Chouhan,5,672.5,397.09,-132.5,TotalImprovement
ATH02786,Jitendra Sharma,5,557.5,326.82,-132.5,TotalImprovement
ATH08101,Vishal Singh #3,3,560.0,333.17,-132.5,TotalImprovement
ATH06580,Shaik Saquib Basha,4,757.5,423.15,-135.0,TotalImprovement
ATH01343,Bibin Joy,3,542.5,429.94,-135.0,TotalImprovement
ATH03801,Manisha,5,305.0,353.11,-137.5,TotalImprovement
ATH06954,Simranpreet Kaur Brar,4,500.0,393.19,-137.5,TotalImprovement
ATH03917,Mayank Dagur,5,270.0,231.08,-140.0,TotalImprovement
ATH03965,Megha,2,265.0,257.92,-140.0,TotalImprovement
ATH07559,Tandra Choudhury,3,315.0,266.67,-140.0,TotalImprovement
ATH01066,Ayush Kumar,2,432.5,409.06,-140.0,TotalImprovement
ATH04525,Niraj Kumar,3,297.5,282.89,-140.0,TotalImprovement
ATH00997,Asif Ali. B. S,7,775.0,423.29,-140.0,TotalImprovement
ATH03925,Mayank Soni,3,627.5,359.0,-142.5,TotalImprovement
ATH02505,Hussan Lal,2,647.5,412.61,-142.5,TotalImprovement
ATH06580,Shaik Saquib Basha,11,635.0,349.99,-145.0,TotalImprovement
ATH05015,Prasanth M G,2,580.0,424.44,-145.0,TotalImprovement
ATH02479,Himanshu Kure,3,372.5,351.69,-145.0,TotalImprovement
ATH05483,Raju Chakraborty,2,565.0,409.22,-147.5,TotalImprovement
ATH01505,Chandan Kumar Singh,13,572.5,385.97,-147.5,TotalImprovement
ATH00986,Ashwani Kumar,4,505.0,345.21,-150.0,TotalImprovement
ATH02298,Guha Sampa,20,307.5,279.32,-150.0,TotalImprovement
ATH06815,Shovita,7,397.5,365.89,-152.5,TotalImprovement
ATH04575,Nitish Kumar #1,4,622.5,393.26,-152.5,TotalImprovement
ATH01505,Chandan Kumar Singh,8,565.0,384.32,-155.0,TotalImprovement
ATH05583,Rani Babita,3,302.5,388.48,-155.0,TotalImprovement
ATH07991,Vijay Kumar #1,2,520.0,410.21,-155.0,TotalImprovement
ATH08230,Yogendra Sogarwal,5,510.0,344.76,-155.0,TotalImprovement
ATH04927,Pradeep Kumar #3,16,647.5,437.24,-156.0,TotalImprovement
ATH04927,Pradeep Kumar #3,14,625.0,422.36,-157.5,TotalImprovement
ATH04757,Parbhjeet Singh Sandhu,4,765.0,445.39,-157.5,TotalImprovement
ATH01193,Balgovind Tiwari,5,495.0,328.13,-157.5,TotalImprovement
ATH03732,Mamta,2,152.5,224.18,-157.5,TotalImprovement
ATH02334,Gurwinder Singh #2,2,766.0,497.83,-160.0,TotalImprovement
ATH05981,S. D. Akbar Salem,2,405.0,250.1,-160.0,TotalImprovement
ATH03715,Malik Pardeep,2,565.0,316.15,-162.5,TotalImprovement
ATH05865,Roshan Lal Sharma,3,725.0,422.23,-162.5,TotalImprovement
ATH07696,Toora Rajesh,6,577.5,355.23,-162.5,TotalImprovement
ATH02358,Harcharan Singh Virk,2,660.0,447.63,-165.0,TotalImprovement
ATH00274,Ajay James,5,647.5,373.65,-165.0,TotalImprovement
ATH04734,Pankaj Tyagi,6,772.5,446.75,-165.0,TotalImprovement
ATH02473,Himanshu,2,242.5,267.42,-167.5,TotalImprovement
ATH01384,Biswajit Gogoi,5,607.5,366.78,-170.0,TotalImprovement
ATH07962,Vickram Jeet Singh,8,680.0,352.6,-171.0,TotalImprovement
ATH05142,Priya M,7,320.0,352.59,-175.0,TotalImprovement
ATH02531,Inderjeet Singh,2,460.0,331.15,-175.0,TotalImprovement
ATH00446,Aman Kumar Singh,2,427.5,301.3,-175.0,TotalImprovement
ATH08260,Yuvraj Singh,3,372.5,259.57,-177.5,TotalImprovement
